Name,Age,Nationality,Club,Value,Preferred_Foot,Jersey_Number,Height,Weight,Best_Position,Contract_Valid_Until,name_coach,avg_term_as_coach
M. Guilavogui,23,France,Paris SG,€925K,Right,21,188cm,81kg,RW,2023,Mauricio Pochettino,2.93 Years
O. Camara,18,France,Paris SG,€550K,Right,4,197cm,90kg,CDM,2023,Mauricio Pochettino,2.93 Years
21 A. Pembélé,19,France,Paris SG,€775K,Right,25,180cm,70kg,RM,2022,Mauricio Pochettino,2.93 Years
21 P. Koffi,18,France,Paris SG,€575K,Right,24,182cm,77kg,ST,2023,Mauricio Pochettino,2.93 Years
K. Navas,34,Costa Rica,Paris SG,€15.5M,Right,1,185cm,80kg,GK,2024,Mauricio Pochettino,2.93 Years
Y. N'Diaye,23,Senegal,Paris SG,€1.1M,Right,18,190cm,75kg,CB,2023,Mauricio Pochettino,2.93 Years
G. Donnarumma,22,Italy,Paris SG,€119.5M,Right,50,196cm,90kg,GK,2026,Mauricio Pochettino,2.93 Years
H. Gambor,18,France,Paris SG,€300K,Right,17,186cm,77kg,CB,2023,Mauricio Pochettino,2.93 Years
Sergio Rico,27,Spain,Paris SG,€9.5M,Right,16,196cm,90kg,GK,2024,Mauricio Pochettino,2.93 Years
V. Demarconnay,38,France,Paris SG,€180K,Right,1,180cm,71kg,GK,2022,Mauricio Pochettino,2.93 Years
21 A. Maisonnial,22,France,Paris SG,€1.4M,Right,30,187cm,79kg,GK,2021,Mauricio Pochettino,2.93 Years
11 G. Coupet,37,France,Paris SG,€ 0,Right,1,181cm,80kg,GK,2011,Mauricio Pochettino,2.93 Years
A. Letellier,30,France,Paris SG,€1M,Right,60,193cm,93kg,GK,2022,Mauricio Pochettino,2.93 Years
