Name,Age,Nationality,Club,Value,Preferred_Foot,Jersey_Number,Height,Weight,Best_Position,Contract_Valid_Until,name_coach,avg_term_as_coach
L. Agoumé,19,France,Stade Brestois,€2.4M,Right,10,185cm,72kg,CM,30-Jun-22,Michel Der Zakarian,1.91 Years
B. Chardonnet,26,France,Stade Brestois,€4.9M,Right,5,181cm,74kg,CB,2023,Michel Der Zakarian,1.91 Years
20 D. Kiki,25,Benin,Stade Brestois,€400K,Left,12,180cm,76kg,LWB,2021,Michel Der Zakarian,1.91 Years
J. Duverne,23,France,Stade Brestois,€2.6M,Right,2,184cm,71kg,CB,2023,Michel Der Zakarian,1.91 Years
16 M. Platje,26,Netherlands,Stade Brestois,€625K,Right,9,177cm,79kg,ST,2017,Michel Der Zakarian,1.91 Years
J. Le Douaron,23,France,Stade Brestois,€1.5M,Left,26,189cm,77kg,LM,2023,Michel Der Zakarian,1.91 Years
16 G. Lorenzi,31,France,Stade Brestois,€400K,Right,20,186cm,82kg,CB,2016,Michel Der Zakarian,1.91 Years
Y. Badji,19,Senegal,Stade Brestois,€2.4M,Right,29,192cm,80kg,ST,30-Jun-22,Michel Der Zakarian,1.91 Years
D. Bain,27,France,Stade Brestois,€2M,Right,17,181cm,74kg,CB,2022,Michel Der Zakarian,1.91 Years
R. Saïd,21,Comoros,Stade Brestois,€725K,Left,19,178cm,73kg,LW,2023,Michel Der Zakarian,1.91 Years
G. Larsonneur,24,France,Stade Brestois,€6M,Right,1,181cm,70kg,GK,2023,Michel Der Zakarian,1.91 Years
M. Bizot,30,Netherlands,Stade Brestois,€5.5M,Right,40,193cm,83kg,GK,2024,Michel Der Zakarian,1.91 Years
07 P. Sarr,28,Senegal,Stade Brestois,€ 0,Right,27,180cm,76kg,CDM,2007,Michel Der Zakarian,1.91 Years
21 M. Hassen,25,Tunisia,Stade Brestois,€725K,Right,40,186cm,80kg,GK,2021,Michel Der Zakarian,1.91 Years
S. Cibois,23,France,Stade Brestois,€1.1M,Right,16,192cm,83kg,GK,2022,Michel Der Zakarian,1.91 Years
S. Fofana,26,Côte d'Ivoire,Lens,€17.5M,Right,8,185cm,74kg,CM,2024,Franck Haise,2.26 Years
J. Clauss,28,France,Lens,€9.5M,Right,11,178cm,67kg,RWB,2023,Franck Haise,2.26 Years
G. Kakuta,30,Congo DR,Lens,€13.5M,Left,10,173cm,72kg,CAM,2023,Franck Haise,2.26 Years
F. Sotoca,30,France,Lens,€4.1M,Right,7,187cm,77kg,ST,2023,Franck Haise,2.26 Years
C. Doucouré,21,Mali,Lens,€8.5M,Right,28,180cm,73kg,CM,2024,Franck Haise,2.26 Years
M. Haïdara,28,Mali,Lens,€2.8M,Left,21,179cm,76kg,LWB,2022,Franck Haise,2.26 Years
D. Machado,27,Colombia,Lens,€1.8M,Left,3,173cm,75kg,LB,2024,Franck Haise,2.26 Years
P. Frankowski,26,Poland,Lens,€2.2M,Right,29,175cm,70kg,RM,2026,Franck Haise,2.26 Years
C. Jean,25,France,Lens,€2M,Right,25,170cm,70kg,RW,2023,Franck Haise,2.26 Years
I. Ganago,22,Cameroon,Lens,€6.5M,Right,9,179cm,82kg,ST,2024,Franck Haise,2.26 Years
19 A. Bencharki,23,Morocco,Lens,€1M,Right,20,179cm,70kg,RW,30-Jun-19,Franck Haise,2.26 Years
Y. Cahuzac,36,France,Lens,€825K,Right,18,178cm,72kg,CDM,2022,Franck Haise,2.26 Years
F. Medina,22,Argentina,Lens,€8M,Left,14,184cm,77kg,CB,2024,Franck Haise,2.26 Years
J. Gradit,28,France,Lens,€5.5M,Right,24,180cm,75kg,CB,2024,Franck Haise,2.26 Years
W. Saïd,26,France,Lens,€1.7M,Right,22,173cm,71kg,ST,2026,Franck Haise,2.26 Years
A. Kalimuendo,19,France,Lens,€6.5M,Right,15,175cm,78kg,ST,30-Jun-22,Franck Haise,2.26 Years
J. Keita,22,Guinea,Lens,€1.6M,Right,35,168cm,58kg,LW,2023,Franck Haise,2.26 Years
I. Boura,20,France,Lens,€1.8M,Left,19,173cm,68kg,LWB,2023,Franck Haise,2.26 Years
C. Boli,22,France,Lens,€1.1M,Left,27,175cm,65kg,CAM,2024,Franck Haise,2.26 Years
K. Danso,22,Austria,Lens,€4.4M,Right,4,190cm,87kg,CB,2026,Franck Haise,2.26 Years
20 M. Madri,29,France,Lens,€375K,Right,11,176cm,65kg,RW,2020,Franck Haise,2.26 Years
C. Wooh,19,France,Lens,€1.6M,Right,5,191cm,90kg,CB,2025,Franck Haise,2.26 Years
A. Oudjani,18,Algeria,Lens,€700K,Right,34,185cm,75kg,CAM,2023,Franck Haise,2.26 Years
David Costa,20,Portugal,Lens,€1.7M,Left,20,168cm,64kg,CAM,2024,Franck Haise,2.26 Years
21 Z. Diallo,33,France,Lens,€475K,Right,5,194cm,91kg,CB,2021,Franck Haise,2.26 Years
18 M. Fofana,32,Mali,Lens,€210K,Right,14,182cm,77kg,CB,2018,Franck Haise,2.26 Years
21 A. Louveau,20,France,Lens,€375K,Left,34,181cm,72kg,CB,2024,Franck Haise,2.26 Years
W. Faríñez,23,Venezuela,Lens,€3.5M,Right,30,180cm,77kg,GK,2024,Franck Haise,2.26 Years
J. Leca,35,France,Lens,€625K,Right,16,180cm,75kg,GK,2022,Franck Haise,2.26 Years
V. Lesieur,18,Portugal,Lens,€400K,Right,40,195cm,80kg,GK,2024,Franck Haise,2.26 Years
Y. Pandor,20,France,Lens,€375K,Left,50,178cm,73kg,GK,2025,Franck Haise,2.26 Years
V. Berisha,28,Kosovo,Stade Reims,€4.2M,Right,14,176cm,81kg,CAM,2024,Óscar García,0.79 Years
T. Foket,26,Belgium,Stade Reims,€8M,Right,32,177cm,67kg,RB,2023,Óscar García,0.79 Years
Moreto Cassamá,23,Guinea Bissau,Stade Reims,€3.3M,Right,23,165cm,63kg,CM,2024,Óscar García,0.79 Years
M. Cafaro,24,France,Stade Reims,€6M,Right,24,178cm,74kg,CAM,2022,Óscar García,0.79 Years
G. Konan,25,Côte d'Ivoire,Stade Reims,€7M,Left,3,176cm,71kg,LB,2022,Óscar García,0.79 Years
A. Zeneli,26,Kosovo,Stade Reims,€6.5M,Right,10,176cm,72kg,LM,2024,Óscar García,0.79 Years
M. Doumbia,26,Mali,Stade Reims,€2.6M,Right,25,173cm,68kg,LM,2022,Óscar García,0.79 Years
A. Matusiwa,23,Netherlands,Stade Reims,€5.5M,Right,21,173cm,72kg,CB,2026,Óscar García,0.79 Years
M. Munetsi,25,Zimbabwe,Stade Reims,€3.3M,Right,15,188cm,83kg,CDM,2024,Óscar García,0.79 Years
D. Lopy,19,Senegal,Stade Reims,€1.4M,Right,26,184cm,79kg,CM,2023,Óscar García,0.79 Years
N. Mbuku,19,France,Stade Reims,€4.4M,Left,11,170cm,65kg,LM,2023,Óscar García,0.79 Years
M. van Bergen,21,Netherlands,Stade Reims,€4.9M,Right,19,170cm,62kg,RM,2024,Óscar García,0.79 Years
A. Donis,24,Greece,Stade Reims,€1.9M,Right,17,178cm,77kg,ST,2024,Óscar García,0.79 Years
F. Doucouré,20,Mali,Stade Reims,€1.8M,Right,13,172cm,61kg,RB,2023,Óscar García,0.79 Years
Y. Abdelhamid,33,Morocco,Stade Reims,€5M,Left,5,190cm,83kg,CB,2022,Óscar García,0.79 Years
I. Kebbal,22,France,Stade Reims,€2.3M,Left,20,169cm,60kg,CAM,2024,Óscar García,0.79 Years
A. Flips,21,France,Stade Reims,€1.4M,Right,12,173cm,68kg,CAM,2024,Óscar García,0.79 Years
E. Touré,19,Mali,Stade Reims,€3M,Right,27,185cm,72kg,ST,2024,Óscar García,0.79 Years
A. Gravillon,23,France,Stade Reims,€3.2M,Right,6,185cm,80kg,CB,30-Jun-22,Óscar García,0.79 Years
W. Faes,23,Belgium,Stade Reims,€5.5M,Right,2,187cm,82kg,CB,2024,Óscar García,0.79 Years
S. Sissoko,22,France,Stade Reims,€475K,Right,33,186cm,73kg,RB,2023,Óscar García,0.79 Years
F. Hornby,21,Scotland,Stade Reims,€1.3M,Right,18,195cm,85kg,ST,2024,Óscar García,0.79 Years
H. Ekitike,19,France,Stade Reims,€1M,Right,22,189cm,70kg,ST,2023,Óscar García,0.79 Years
B. Locko,19,France,Stade Reims,€550K,Left,28,180cm,65kg,LB,2023,Óscar García,0.79 Years
21 T. Nkada,20,France,Stade Reims,€375K,Right,19,177cm,68kg,ST,2023,Óscar García,0.79 Years
N. Koffi,19,France,Stade Reims,€600K,Right,34,183cm,74kg,ST,2022,Óscar García,0.79 Years
M. Mbow,21,Senegal,Stade Reims,€525K,Right,29,192cm,74kg,CB,2023,Óscar García,0.79 Years
N. Penneteau,40,France,Stade Reims,€210K,Left,30,185cm,78kg,GK,2023,Óscar García,0.79 Years
Y. Diouf,21,France,Stade Reims,€1.5M,Right,16,184cm,74kg,GK,2023,Óscar García,0.79 Years
P. Rajković,25,Serbia,Stade Reims,€16.5M,Right,1,191cm,85kg,GK,2023,Óscar García,0.79 Years
M. Lopez,23,France,Sassuolo,€8M,Right,8,167cm,58kg,CAM,2025,Alessio Dionisi,0.98 Years
D. Berardi,26,Italy,Sassuolo,€33.5M,Left,25,183cm,72kg,RW,2024,Alessio Dionisi,0.98 Years
A. Harroui,23,Netherlands,Sassuolo,€5.5M,Right,99,182cm,76kg,CAM,30-Jun-22,Alessio Dionisi,0.98 Years
K. Ayhan,26,Turkey,Sassuolo,€6.5M,Right,5,184cm,84kg,CB,2024,Alessio Dionisi,0.98 Years
Matheus Henrique,23,Brazil,Sassuolo,€12.5M,Right,97,175cm,71kg,RM,2022,Alessio Dionisi,0.98 Years
Pedro Obiang,29,Equatorial Guinea,Sassuolo,€4.8M,Right,14,185cm,75kg,CDM,2023,Alessio Dionisi,0.98 Years
D. Frattesi,21,Italy,Sassuolo,€3.1M,Right,16,184cm,74kg,CAM,2025,Alessio Dionisi,0.98 Years
J. Boga,24,Côte d'Ivoire,Sassuolo,€16.5M,Right,7,174cm,72kg,RM,2022,Alessio Dionisi,0.98 Years
H. Traorè,21,Côte d'Ivoire,Sassuolo,€4.6M,Right,23,177cm,68kg,CAM,2024,Alessio Dionisi,0.98 Years
F. Đuričić,29,Serbia,Sassuolo,€7.5M,Right,10,181cm,75kg,CAM,2022,Alessio Dionisi,0.98 Years
G. Defrel,30,France,Sassuolo,€10M,Left,92,179cm,77kg,CAM,2024,Alessio Dionisi,0.98 Years
F. Magnanelli,36,Italy,Sassuolo,€1.1M,Right,4,181cm,79kg,CDM,2022,Alessio Dionisi,0.98 Years
Rogério,23,Brazil,Sassuolo,€3.4M,Left,6,178cm,70kg,LWB,2023,Alessio Dionisi,0.98 Years
L. Haraslín,25,Slovakia,Sassuolo,€2.5M,Right,11,182cm,75kg,RM,2023,Alessio Dionisi,0.98 Years
C. Adjapong,22,Italy,Sassuolo,€4.5M,Right,74,180cm,75kg,RB,2023,Alessio Dionisi,0.98 Years
V. Chiricheș,31,Romania,Sassuolo,€2.1M,Right,21,184cm,75kg,CB,2023,Alessio Dionisi,0.98 Years
M. Müldür,22,Turkey,Sassuolo,€4M,Right,17,188cm,74kg,RB,2024,Alessio Dionisi,0.98 Years
J. Toljan,26,Germany,Sassuolo,€3.3M,Right,22,182cm,73kg,RB,2025,Alessio Dionisi,0.98 Years
G. Raspadori,21,Italy,Sassuolo,€10.5M,Right,18,172cm,69kg,ST,2022,Alessio Dionisi,0.98 Years
F. Ricci,26,Italy,Sassuolo,€2.6M,Left,76,175cm,68kg,RW,2022,Alessio Dionisi,0.98 Years
G. Scamacca,22,Italy,Sassuolo,€9.5M,Right,91,195cm,85kg,ST,2023,Alessio Dionisi,0.98 Years
G. Kyriakopoulos,25,Greece,Sassuolo,€1.9M,Left,77,182cm,76kg,LWB,2024,Alessio Dionisi,0.98 Years
F. Peluso,37,Italy,Sassuolo,€275K,Left,13,188cm,82kg,CB,2022,Alessio Dionisi,0.98 Years
20 A. Matri,34,Italy,Sassuolo,€925K,Right,28,183cm,80kg,ST,2020,Alessio Dionisi,0.98 Years
F. Romagna,24,Italy,Sassuolo,€2.6M,Right,19,186cm,75kg,CB,2022,Alessio Dionisi,0.98 Years
G. Ferrari,29,Italy,Sassuolo,€2.8M,Left,31,189cm,82kg,CB,2023,Alessio Dionisi,0.98 Years
E. Goldaniga,27,Italy,Sassuolo,€1.9M,Right,3,193cm,82kg,CB,2022,Alessio Dionisi,0.98 Years
A. Consigli,34,Italy,Sassuolo,€4.4M,Right,47,189cm,82kg,GK,2022,Alessio Dionisi,0.98 Years
G. Pegolo,40,Italy,Sassuolo,€180K,Left,56,183cm,76kg,GK,2022,Alessio Dionisi,0.98 Years
S. Turati,18,Italy,Sassuolo,€375K,Right,63,189cm,85kg,GK,2024,Alessio Dionisi,0.98 Years
L. Milivojević,30,Serbia,Crystal Palace,€6.5M,Right,4,186cm,80kg,CDM,2023,Patrick Vieira,2.06 Years
J. Schlupp,28,Ghana,Crystal Palace,€5.5M,Left,15,178cm,72kg,LM,2023,Patrick Vieira,2.06 Years
J. McArthur,33,Scotland,Crystal Palace,€3.5M,Right,18,178cm,66kg,CDM,2023,Patrick Vieira,2.06 Years
J. Ayew,29,Ghana,Crystal Palace,€5.5M,Right,9,182cm,81kg,ST,2022,Patrick Vieira,2.06 Years
W. Zaha,28,Côte d'Ivoire,Crystal Palace,€31M,Right,11,180cm,66kg,CF,2023,Patrick Vieira,2.06 Years
W. Hughes,26,England,Crystal Palace,€9M,Left,12,185cm,74kg,CAM,2024,Patrick Vieira,2.06 Years
O. Edouard,23,France,Crystal Palace,€12.5M,Right,22,187cm,83kg,CAM,2025,Patrick Vieira,2.06 Years
C. Kouyaté,31,Senegal,Crystal Palace,€9.5M,Right,8,189cm,83kg,CB,2022,Patrick Vieira,2.06 Years
N. Clyne,30,England,Crystal Palace,€4.8M,Right,17,175cm,67kg,RB,2022,Patrick Vieira,2.06 Years
E. Eze,23,England,Crystal Palace,€16.5M,Right,10,178cm,67kg,CAM,2025,Patrick Vieira,2.06 Years
J. Riedewald,24,Netherlands,Crystal Palace,€7M,Left,44,182cm,79kg,CDM,2024,Patrick Vieira,2.06 Years
C. Gallagher,21,England,Crystal Palace,€9.5M,Right,23,182cm,74kg,CM,30-Jun-22,Patrick Vieira,2.06 Years
M. Olise,19,France,Crystal Palace,€7M,Left,7,184cm,68kg,CAM,2026,Patrick Vieira,2.06 Years
19 B. Sako,30,Mali,Crystal Palace,€2.2M,Left,26,183cm,90kg,LM,2019,Patrick Vieira,2.06 Years
J. Ward,31,England,Crystal Palace,€3.1M,Right,2,188cm,83kg,RB,2023,Patrick Vieira,2.06 Years
C. Benteke,30,Belgium,Crystal Palace,€5.5M,Right,20,190cm,83kg,ST,2023,Patrick Vieira,2.06 Years
J. Andersen,25,Denmark,Crystal Palace,€12.5M,Right,16,192cm,90kg,CB,2026,Patrick Vieira,2.06 Years
J. Mateta,24,France,Crystal Palace,€8.5M,Right,14,192cm,88kg,ST,30-Jun-22,Patrick Vieira,2.06 Years
T. Mitchell,21,England,Crystal Palace,€4M,Left,3,180cm,70kg,LB,2025,Patrick Vieira,2.06 Years
M. Kelly,31,England,Crystal Palace,€2.9M,Right,34,191cm,77kg,CB,2022,Patrick Vieira,2.06 Years
21 D. Boateng,19,England,Crystal Palace,€825K,Right,43,169cm,56kg,LB,2021,Patrick Vieira,2.06 Years
M. Guéhi,20,England,Crystal Palace,€6M,Right,6,185cm,75kg,CB,2026,Patrick Vieira,2.06 Years
J. Jach,27,Poland,Crystal Palace,€675K,Left,21,192cm,78kg,CB,2022,Patrick Vieira,2.06 Years
N. Ferguson,20,England,Crystal Palace,€2.9M,Right,36,178cm,70kg,RB,2023,Patrick Vieira,2.06 Years
J. Montes,22,United States,Crystal Palace,€325K,Right,35,180cm,75kg,CAM,2022,Patrick Vieira,2.06 Years
S. Banks,19,Scotland,Crystal Palace,€575K,Left,40,183cm,72kg,CAM,2023,Patrick Vieira,2.06 Years
J. Rak-Sakyi,18,England,Crystal Palace,€825K,Left,49,178cm,73kg,CAM,2023,Patrick Vieira,2.06 Years
J. Tomkins,32,England,Crystal Palace,€3.6M,Right,5,192cm,74kg,CB,2022,Patrick Vieira,2.06 Years
21 L. Dreher,21,England,Crystal Palace,€450K,Right,49,184cm,77kg,CM,2021,Patrick Vieira,2.06 Years
N. Kirby,21,England,Crystal Palace,€600K,Right,26,174cm,66kg,RM,2022,Patrick Vieira,2.06 Years
21 B. Aveiro,18,Portugal,Crystal Palace,€525K,Right,41,170cm,66kg,CAM,2021,Patrick Vieira,2.06 Years
16 B. Hangeland,34,Norway,Crystal Palace,€650K,Right,4,196cm,92kg,CB,2016,Patrick Vieira,2.06 Years
R. Street,19,England,Crystal Palace,€775K,Right,46,188cm,70kg,ST,2022,Patrick Vieira,2.06 Years
R. Hannam,20,England,Crystal Palace,€300K,Left,43,178cm,67kg,LB,2023,Patrick Vieira,2.06 Years
Guaita,34,Spain,Crystal Palace,€3.6M,Right,13,190cm,80kg,GK,2023,Patrick Vieira,2.06 Years
J. Butland,28,England,Crystal Palace,€2.4M,Right,1,196cm,95kg,GK,2023,Patrick Vieira,2.06 Years
R. Matthews,27,England,Crystal Palace,€650K,Right,31,192cm,78kg,GK,2023,Patrick Vieira,2.06 Years
18 Diego Cavalieri,34,Brazil,Crystal Palace,€1.6M,Left,16,191cm,86kg,GK,2018,Patrick Vieira,2.06 Years
19 D. Henry,20,England,Crystal Palace,€80K,Right,30,191cm,80kg,GK,2019,Patrick Vieira,2.06 Years
Álex Fernández,28,Spain,Cádiz CF,€5.5M,Right,8,182cm,72kg,CM,2022,Álvaro Cervera,1.18 Years
21 A. Fernández,34,Argentina,Cádiz CF,€1.9M,Right,17,177cm,71kg,CM,2021,Álvaro Cervera,1.18 Years
Iza Carcelén,28,Spain,Cádiz CF,€3.8M,Right,20,174cm,70kg,RB,2023,Álvaro Cervera,1.18 Years
A. Espino,29,Uruguay,Cádiz CF,€4.9M,Left,22,172cm,71kg,LB,2023,Álvaro Cervera,1.18 Years
F. Andone,28,Romania,Cádiz CF,€3.1M,Right,17,180cm,78kg,ST,30-Jun-22,Álvaro Cervera,1.18 Years
José Mari,33,Spain,Cádiz CF,€925K,Right,6,180cm,69kg,CDM,2022,Álvaro Cervera,1.18 Years
Negredo,35,Spain,Cádiz CF,€6M,Left,18,186cm,86kg,ST,2022,Álvaro Cervera,1.18 Years
J. Jønsson,28,Denmark,Cádiz CF,€3.7M,Right,2,182cm,78kg,CDM,2022,Álvaro Cervera,1.18 Years
Iván Alejo,26,Spain,Cádiz CF,€5M,Right,14,184cm,76kg,RW,2025,Álvaro Cervera,1.18 Years
Salvi Sánchez,30,Spain,Cádiz CF,€10M,Right,7,175cm,64kg,RM,2022,Álvaro Cervera,1.18 Years
Akapo,28,Equatorial Guinea,Cádiz CF,€2.8M,Right,15,179cm,70kg,RB,2022,Álvaro Cervera,1.18 Years
Fali,27,Spain,Cádiz CF,€6M,Right,3,186cm,84kg,CB,2024,Álvaro Cervera,1.18 Years
Alberto Perea,30,Spain,Cádiz CF,€5.5M,Right,10,177cm,74kg,LM,2023,Álvaro Cervera,1.18 Years
Juan Cala,31,Spain,Cádiz CF,€2.9M,Right,16,185cm,78kg,CB,2024,Álvaro Cervera,1.18 Years
Rubén Sobrino,29,Spain,Cádiz CF,€4.2M,Right,21,185cm,73kg,ST,2024,Álvaro Cervera,1.18 Years
T. Alarcón,22,Chile,Cádiz CF,€4M,Right,12,174cm,68kg,CDM,2025,Álvaro Cervera,1.18 Years
A. Lozano,28,Honduras,Cádiz CF,€4.3M,Right,9,185cm,74kg,ST,2023,Álvaro Cervera,1.18 Years
Álvaro Jiménez,26,Spain,Cádiz CF,€1.9M,Right,11,175cm,71kg,RM,2025,Álvaro Cervera,1.18 Years
F. Malbašić,27,Serbia,Cádiz CF,€2M,Right,24,182cm,79kg,RW,2023,Álvaro Cervera,1.18 Years
M. Osmajić,21,Montenegro,Cádiz CF,€4.2M,Right,29,185cm,76kg,ST,2024,Álvaro Cervera,1.18 Years
S. Arzamendia,23,Paraguay,Cádiz CF,€3.4M,Left,19,172cm,72kg,LB,2025,Álvaro Cervera,1.18 Years
Martín Calderón,22,Spain,Cádiz CF,€1.9M,Right,28,183cm,77kg,CAM,2024,Álvaro Cervera,1.18 Years
21 Jurado,34,Spain,Cádiz CF,€750K,Right,21,173cm,72kg,CAM,2022,Álvaro Cervera,1.18 Years
21 L. Quezada,24,Dominican Republic,Cádiz CF,€1M,Left,33,171cm,66kg,LM,2021,Álvaro Cervera,1.18 Years
Garrido,31,Spain,Cádiz CF,€1.6M,Right,23,185cm,80kg,CDM,2023,Álvaro Cervera,1.18 Years
Marcos Mauro,30,Argentina,Cádiz CF,€1.9M,Right,4,190cm,84kg,CB,2022,Álvaro Cervera,1.18 Years
21 D. Jovanović,21,Serbia,Cádiz CF,€1.9M,Right,49,185cm,79kg,ST,2023,Álvaro Cervera,1.18 Years
18 Moha,22,Spain,Cádiz CF,€700K,Right,22,185cm,88kg,ST,2020,Álvaro Cervera,1.18 Years
Chapela,22,Spain,Cádiz CF,€2.3M,Right,27,181cm,73kg,RW,2022,Álvaro Cervera,1.18 Years
17 Dani Güiza,35,Spain,Cádiz CF,€350K,Right,9,180cm,80kg,ST,2017,Álvaro Cervera,1.18 Years
21 Javi Navarro,23,Spain,Cádiz CF,€1.4M,Right,36,184cm,78kg,RM,2022,Álvaro Cervera,1.18 Years
D. Gudelj,23,Serbia,Cádiz CF,€1.6M,Left,33,186cm,75kg,LWB,2022,Álvaro Cervera,1.18 Years
Bastida,17,Spain,Cádiz CF,€1.4M,Right,30,170cm,70kg,CDM,2022,Álvaro Cervera,1.18 Years
V. Haroyan,28,Armenia,Cádiz CF,€1.8M,Right,5,185cm,75kg,CB,2023,Álvaro Cervera,1.18 Years
L. Spatz,19,Argentina,Cádiz CF,€1.3M,Right,35,184cm,75kg,CB,2022,Álvaro Cervera,1.18 Years
18 K. Sankaré,32,Senegal,Cádiz CF,€1.4M,Right,33,190cm,78kg,CB,2018,Álvaro Cervera,1.18 Years
S. Erimuya,22,Nigeria,Cádiz CF,€850K,Right,31,190cm,75kg,CB,2023,Álvaro Cervera,1.18 Years
Víctor Chust,21,Spain,Cádiz CF,€2.1M,Right,32,184cm,76kg,CB,30-Jun-22,Álvaro Cervera,1.18 Years
10 Tristán,33,Spain,Cádiz CF,€ 0,Right,9,186cm,79kg,ST,2010,Álvaro Cervera,1.18 Years
J. Ledesma,28,Argentina,Cádiz CF,€9.5M,Right,1,186cm,83kg,GK,2025,Álvaro Cervera,1.18 Years
David Gil,27,Spain,Cádiz CF,€1.1M,Left,13,186cm,81kg,GK,2023,Álvaro Cervera,1.18 Years
J. Flere,23,Argentina,Cádiz CF,€675K,Right,26,182cm,68kg,GK,2023,Álvaro Cervera,1.18 Years
Dani Rodríguez,33,Spain,RCD Mallorca,€3.5M,Right,14,178cm,71kg,CAM,2023,Luis García,4-2-3-1
Jaume Costa,33,Spain,RCD Mallorca,€7.5M,Left,18,171cm,62kg,LB,2023,Luis García,4-2-3-1
15 Albert Riera,32,Spain,RCD Mallorca,€2.4M,Left,10,188cm,83kg,LM,2016,Luis García,4-2-3-1
R. Battaglia,29,Argentina,RCD Mallorca,€5.5M,Right,16,187cm,79kg,CDM,30-Jun-22,Luis García,4-2-3-1
Salva Sevilla,37,Spain,RCD Mallorca,€1.1M,Right,8,178cm,71kg,CDM,2022,Luis García,4-2-3-1
A. Ndiaye,24,Senegal,RCD Mallorca,€10M,Right,23,173cm,70kg,RM,2025,Luis García,4-2-3-1
Aleix Febas,25,Spain,RCD Mallorca,€4.4M,Right,6,171cm,61kg,CAM,2023,Luis García,4-2-3-1
Antonio Sánchez,24,Spain,RCD Mallorca,€3.7M,Right,10,179cm,78kg,CAM,2024,Luis García,4-2-3-1
Ruiz de Galarreta,27,Spain,RCD Mallorca,€3.1M,Right,4,175cm,69kg,CDM,2023,Luis García,4-2-3-1
Pablo Maffeo,23,Spain,RCD Mallorca,€10.5M,Right,15,172cm,70kg,RB,30-Jun-22,Luis García,4-2-3-1
Kangin Lee,20,Korea Republic,RCD Mallorca,€9.5M,Left,19,173cm,68kg,CAM,2025,Luis García,4-2-3-1
Brian Oliván,27,Spain,RCD Mallorca,€1.7M,Left,3,177cm,73kg,LB,2022,Luis García,4-2-3-1
Ángel,34,Spain,RCD Mallorca,€7M,Right,22,172cm,68kg,ST,2023,Luis García,4-2-3-1
T. Kubo,20,Japan,RCD Mallorca,€13.5M,Left,17,173cm,67kg,CAM,30-Jun-22,Luis García,4-2-3-1
L. Júnior,30,Côte d'Ivoire,RCD Mallorca,€5.5M,Right,11,180cm,79kg,LM,2023,Luis García,4-2-3-1
Abdón Prats,28,Spain,RCD Mallorca,€1.9M,Left,9,181cm,81kg,ST,2024,Luis García,4-2-3-1
I. Baba,25,Ghana,RCD Mallorca,€4.3M,Right,12,185cm,73kg,CDM,2024,Luis García,4-2-3-1
M. Valjent,25,Slovakia,RCD Mallorca,€6M,Right,24,187cm,83kg,CB,2025,Luis García,4-2-3-1
20 Marc Pedraza,32,Spain,RCD Mallorca,€1.2M,Right,6,184cm,82kg,CDM,2020,Luis García,4-2-3-1
Fer Niño,20,Spain,RCD Mallorca,€6.5M,Right,26,190cm,78kg,ST,30-Jun-22,Luis García,4-2-3-1
Jordi Mboula,22,Spain,RCD Mallorca,€4.2M,Right,7,183cm,74kg,RM,2024,Luis García,4-2-3-1
Raillo,29,Spain,RCD Mallorca,€2.5M,Right,21,187cm,80kg,CB,2024,Luis García,4-2-3-1
Joan Sastre,24,Spain,RCD Mallorca,€3.5M,Right,2,174cm,75kg,RB,2023,Luis García,4-2-3-1
A. Sedlar,29,Serbia,RCD Mallorca,€1.5M,Right,20,178cm,79kg,CB,2023,Luis García,4-2-3-1
Llabrés,19,Spain,RCD Mallorca,€1.2M,Right,28,172cm,71kg,RM,2022,Luis García,4-2-3-1
F. Russo,26,Argentina,RCD Mallorca,€2.3M,Right,5,185cm,78kg,CB,2024,Luis García,4-2-3-1
V. De Baunbag,20,Spain,RCD Mallorca,€600K,Right,37,191cm,77kg,ST,2023,Luis García,4-2-3-1
I. Diabate,21,Côte d'Ivoire,RCD Mallorca,€1.1M,Right,30,180cm,80kg,ST,2023,Luis García,4-2-3-1
Pep Gayà,21,Spain,RCD Mallorca,€1.2M,Right,29,185cm,74kg,CB,2022,Luis García,4-2-3-1
21 Buenacasa,24,Spain,RCD Mallorca,€800K,Right,10,183cm,75kg,ST,2021,Luis García,4-2-3-1
Pablo Gálvez,19,Spain,RCD Mallorca,€1.1M,Right,27,185cm,78kg,ST,2022,Luis García,4-2-3-1
Manolo Reina,36,Spain,RCD Mallorca,€350K,Right,1,186cm,81kg,GK,2022,Luis García,4-2-3-1
Pere Joan,19,Spain,RCD Mallorca,€900K,Right,44,188cm,83kg,GK,2022,Luis García,4-2-3-1
Leo Román,21,Spain,RCD Mallorca,€1.5M,Right,31,185cm,78kg,GK,2024,Luis García,4-2-3-1
D. Greif,24,Slovakia,RCD Mallorca,€4.5M,Right,13,197cm,82kg,GK,2026,Luis García,4-2-3-1
E. Skhiri,26,Tunisia,1. FC Köln,€11.5M,Right,28,185cm,73kg,CDM,2023,Steffen Baumgart,1.64 Years
J. Hector,31,Germany,1. FC Köln,€10M,Left,14,185cm,75kg,CDM,2023,Steffen Baumgart,1.64 Years
O. Duda,26,Slovakia,1. FC Köln,€7.5M,Right,18,181cm,75kg,CAM,2024,Steffen Baumgart,1.64 Years
M. Uth,29,Germany,1. FC Köln,€5.5M,Left,13,185cm,72kg,CAM,2023,Steffen Baumgart,1.64 Years
